proposal_id,proposal_uuid,negotiation_round,proposal_version,parent_proposal_id,status,carrier_id,origin,origin_name,destination,destination_name,container_size,quantity,teu,earliest_need_due,latest_need_due,train_id,train_origin,train_destination,train_path,departure_time,arrival_time,max_earliness_hours,min_earliness_hours,estimated_rail_charge_krw,need_allocation
PROP0010,2e95dd8b-5bbc-5a10-9a59-ca56a79b4f1d,2,2,PROP0010|PROP0012,UPDATED_PROPOSAL,CARRIER_C,BUGANG,부강화물역 CY,DONGSAN,동산역 CY,20FT,3,3,2026-08-12 18:00,2026-08-14 06:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 14:00,2026-08-11 22:00,56,20,149146.71,NEED0084:1|NEED0085:1|NEED0087:1
PROP0011,ff955248-e191-5015-a709-a0ee23bb5cf5,2,2,PROP0011,UPDATED_PROPOSAL,CARRIER_C,BUGANG,부강화물역 CY,DONGSAN,동산역 CY,40FT,1,2,2026-08-12 06:00,2026-08-12 06:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 14:00,2026-08-11 22:00,8,8,77078.4,NEED0093:1
PROP0012,06153e5b-bff1-51e2-85f6-c7f3c6d84a40,2,2,PROP0013,UPDATED_PROPOSAL,CARRIER_C,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,1,1,2026-08-12 14:00,2026-08-12 14:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 21:00,41,41,153614.23,NEED0083:1
PROP0013,e730b4e5-e128-5ba2-82c8-283383dd3c0d,2,2,PROP0012,UPDATED_PROPOSAL,CARRIER_C,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,20FT,2,2,2026-08-14 09:00,2026-08-14 12:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-11 22:00,62,59,180381.22,NEED0088:1|NEED0089:1
PROP0014,60496f41-84d7-5754-a667-2d96dee81470,2,2,PROP0013,UPDATED_PROPOSAL,CARRIER_C,YAKMOK,약목역 CY,BUSAN,부산신항,20FT,1,1,2026-08-11 13:00,2026-08-11 13:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 13:00,2026-08-10 21:00,16,16,54870.41,NEED0082:1
