carrier_id,timestamp,hub_code,container_size,demand,external_supply,no_rail_inventory_end,no_rail_unmet,inventory_lb,source_release_capacity_cumulative
CARRIER_A,2026-08-16 07:00,DONGSAN,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-11 11:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-11 15:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-12 07:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-12 11:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-13 10:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-13 11:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-13 16:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 10:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 14:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 18:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-15 12:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-10 17:00,YAKMOK,20FT,3,1,0,1,0,0
CARRIER_A,2026-08-10 18:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-11 07:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-11 09:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-11 10:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-11 11:00,YAKMOK,20FT,2,0,0,2,0,0
CARRIER_A,2026-08-12 06:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-12 11:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-12 13:00,YAKMOK,20FT,2,1,0,1,0,0
CARRIER_A,2026-08-12 16:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-13 09:00,YAKMOK,20FT,2,0,0,2,0,0
CARRIER_A,2026-08-13 10:00,YAKMOK,20FT,2,0,0,2,0,0
CARRIER_A,2026-08-13 17:00,YAKMOK,20FT,2,0,0,2,0,0
CARRIER_A,2026-08-14 08:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 09:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 11:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 12:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 16:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 18:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-15 10:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-16 10:00,YAKMOK,20FT,1,0,0,1,0,0
CARRIER_A,2026-08-10 17:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-11 16:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-11 18:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-12 09:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-12 12:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-12 15:00,YAKMOK,40FT,1,0,0,1,0,0
