proposal_id,proposal_uuid,negotiation_round,proposal_version,parent_proposal_id,status,carrier_id,origin,origin_name,destination,destination_name,container_size,quantity,teu,earliest_need_due,latest_need_due,train_id,train_origin,train_destination,train_path,departure_time,arrival_time,max_earliness_hours,min_earliness_hours,estimated_rail_charge_krw,need_allocation
PROP0018,c68c2113-b6bf-570a-b8ec-fe04dc4d59fc,1,1,,PROPOSED,CARRIER_D,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,2,2,2026-08-14 05:00,2026-08-14 18:00,CAND0367,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 03:00,2026-08-11 07:00,83,70,212913.98,NEED0051:1|NEED0054:1
PROP0019,086d2e90-861e-5ae4-82a3-26db50a2ab83,1,1,,PROPOSED,CARRIER_D,DONGSAN,동산역 CY,GWANGYANG,신광양항,20FT,2,2,2026-08-13 15:00,2026-08-14 14:00,CAND0367,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 05:00,2026-08-11 07:00,79,56,113482.84,NEED0050:1|NEED0053:1
PROP0020,da6744f3-6acd-564b-a316-1bdd2436b952,1,1,,PROPOSED,CARRIER_D,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,1,1,2026-08-14 10:00,2026-08-14 10:00,CAND0367,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 00:00,2026-08-11 07:00,75,75,146932.03,NEED0052:1
