proposal_id,proposal_uuid,negotiation_round,proposal_version,parent_proposal_id,status,carrier_id,origin,origin_name,destination,destination_name,container_size,quantity,teu,earliest_need_due,latest_need_due,train_id,train_origin,train_destination,train_path,departure_time,arrival_time,max_earliness_hours,min_earliness_hours,estimated_rail_charge_krw,need_allocation
PROP0001,84df09a6-40dc-55a1-ad58-a94e18c3243e,1,1,,PROPOSED,CARRIER_A,BUGANG,부강화물역 CY,DONGSAN,동산역 CY,20FT,2,2,2026-08-16 07:00,2026-08-16 13:00,CAND0367,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 03:00,2026-08-11 05:00,128,122,99431.14,NEED0004:1|NEED0005:1
PROP0002,3f5390d6-d62e-5920-8e4d-f52a2e615a55,1,1,,PROPOSED,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,3,3,2026-08-15 11:00,2026-08-15 16:00,CAND0367,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 03:00,2026-08-11 07:00,105,100,319370.97,NEED0007:1|NEED0008:1|NEED0009:1
PROP0003,35c061be-c1fa-5905-9012-41d91040c35b,1,1,,PROPOSED,CARRIER_A,BUSAN,부산신항,YAKMOK,약목역 CY,20FT,5,5,2026-08-14 11:00,2026-08-15 10:00,CAND0177,BUSAN,YAKMOK,BUSAN > YAKMOK,2026-08-12 06:00,2026-08-12 09:00,73,50,274352.05,NEED0011:1|NEED0012:1|NEED0013:1|NEED0014:2
PROP0004,dfa6c1a9-d961-531e-9c38-7229bd24255f,1,1,,PROPOSED,CARRIER_A,BUSAN,부산신항,YAKMOK,약목역 CY,40FT,3,6,2026-08-14 18:00,2026-08-15 15:00,CAND0177,BUSAN,YAKMOK,BUSAN > YAKMOK,2026-08-12 06:00,2026-08-12 09:00,78,57,255211.2,NEED0015:1|NEED0016:1|NEED0017:1
PROP0005,4d55315f-051c-54c4-82a7-8f80331fb8ec,1,1,,PROPOSED,CARRIER_A,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,40FT,2,4,2026-08-16 10:00,2026-08-16 13:00,CAND0367,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 00:00,2026-08-11 02:00,131,128,132371.2,NEED0001:1|NEED0002:1
PROP0006,1f2cc844-6b15-5aa5-b367-689893bd6867,1,1,,PROPOSED,CARRIER_A,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,40FT,1,2,2026-08-15 07:00,2026-08-15 07:00,CAND0367,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 00:00,2026-08-11 05:00,98,98,139830.4,NEED0006:1
PROP0007,5f843895-0fb4-5374-aab9-b6d021719e2c,1,1,,PROPOSED,CARRIER_A,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,40FT,1,2,2026-08-15 08:00,2026-08-15 08:00,CAND0367,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 00:00,2026-08-11 07:00,97,97,227801.6,NEED0010:1
