train_id,route,service_family,origin_terminal,destination_terminal,origin_departure,final_arrival,actual_origin_departure,actual_final_arrival,model_origin_departure_slot,model_final_arrival_slot,model_origin_departure_time,model_final_arrival_time,formation,wagons,capacity_teu,total_assigned_teu,peak_load_teu,distance_weighted_load_factor,participating_carrier_count,train_km,wagon_km,candidate_source,work_stops,work_stop_count,actual_transit_minutes,actual_dwell_minutes,model_transit_hours,model_dwell_hours,transit_hours,dwell_hours,20ft_boxes,40ft_boxes,total_container_boxes
CAND0156,UIWANG > BUGANG > YAKMOK > BUSAN,GYEONGBU,UIWANG,BUSAN,2026-08-10 06:00,2026-08-10 18:00,2026-08-10 06:00,2026-08-10 18:00,6,18,2026-08-10 06:00,2026-08-10 18:00,F33,33,66,46,37,0.5019,5,408.1,13467.3,PROTOTYPE_SYNTHETIC,UIWANG|BUGANG|YAKMOK|BUSAN,4,720.0,360.0,12,6,12,6,38,4,42
CAND0292,BUSAN > YAKMOK,GYEONGBU,BUSAN,YAKMOK,2026-08-12 00:00,2026-08-12 03:00,2026-08-12 00:00,2026-08-12 03:00,48,51,2026-08-12 00:00,2026-08-12 03:00,F33,33,66,34,34,0.5152,1,143.7,4742.1,PROTOTYPE_SYNTHETIC,BUSAN|YAKMOK,2,180.0,0,3,0,3,0,16,9,25
CAND0702,UIWANG > BUGANG > DONGSAN > GWANGYANG,SOUTHWEST,UIWANG,GWANGYANG,2026-08-11 12:00,2026-08-12 00:00,2026-08-11 12:00,2026-08-12 00:00,36,48,2026-08-11 12:00,2026-08-12 00:00,F33,33,66,58,48,0.5973,6,390.6,12889.8,PROTOTYPE_SYNTHETIC,UIWANG|BUGANG|DONGSAN|GWANGYANG,4,720.0,360.0,12,6,12,6,50,4,54
