train_id,segment_sequence,segment,from_hub,to_hub,loaded_teu,capacity_teu,load_factor,physical_distance_km
CAND0156,1,UIWANG>BUGANG,UIWANG,BUGANG,37,66,0.5606,111.8
CAND0156,2,BUGANG>YAKMOK,BUGANG,YAKMOK,37,66,0.5606,152.6
CAND0156,3,YAKMOK>BUSAN,YAKMOK,BUSAN,26,66,0.3939,143.7
CAND0292,1,BUSAN>YAKMOK,BUSAN,YAKMOK,34,66,0.5152,143.7
CAND0702,1,UIWANG>BUGANG,UIWANG,BUGANG,26,66,0.3939,111.8
CAND0702,2,BUGANG>DONGSAN,BUGANG,DONGSAN,48,66,0.7273,130.2
CAND0702,3,DONGSAN>GWANGYANG,DONGSAN,GWANGYANG,42,66,0.6364,148.6
