train_id,candidate_source,route,actual_origin_departure,actual_final_arrival,formation,wagons,capacity_teu,assigned_teu,load_factor,participating_carrier_count,20ft_boxes,40ft_boxes,total_container_boxes
CAND0156,PROTOTYPE_SYNTHETIC,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 06:00,2026-08-10 18:00,F33,33,66,46,0.5019,5,38,4,42
CAND0292,PROTOTYPE_SYNTHETIC,BUSAN > YAKMOK,2026-08-12 00:00,2026-08-12 03:00,F33,33,66,34,0.5152,1,16,9,25
CAND0702,PROTOTYPE_SYNTHETIC,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 12:00,2026-08-12 00:00,F33,33,66,58,0.5973,6,50,4,54
