recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0001,CARRIER_A,GWANGYANG,20FT,8,8,2026-08-12 07:00,2026-08-14 18:00,BUGANG,8,8,0,8,8,CAND0702,0.5973,6,2026-08-12 07:00,2026-08-14 18:00,2026-08-12 00:00,2026-08-12 03:00,63,278.8,278.8,851655.92
REC0002,CARRIER_A,YAKMOK,20FT,16,13,2026-08-12 06:00,2026-08-14 18:00,BUSAN,28,16,12,16,16,CAND0292,0.5152,1,2026-08-12 06:00,2026-08-14 18:00,2026-08-12 03:00,2026-08-12 06:00,60,143.7,143.7,877926.56
REC0003,CARRIER_A,YAKMOK,40FT,18,8,2026-08-12 09:00,2026-08-14 19:00,BUSAN,62,9,53,9,18,CAND0292,0.5152,1,2026-08-12 09:00,2026-08-14 19:00,2026-08-12 03:00,2026-08-12 06:00,61,143.7,143.7,765633.6
REC0004,CARRIER_A,YAKMOK,20FT,7,6,2026-08-10 17:00,2026-08-11 11:00,UIWANG,14,7,7,7,7,CAND0156,0.5019,5,2026-08-10 17:00,2026-08-11 11:00,2026-08-10 13:00,2026-08-10 16:00,19,264.4,258.6,691206.75
REC0005,CARRIER_A,YAKMOK,40FT,6,3,2026-08-10 17:00,2026-08-11 18:00,UIWANG,4,3,1,3,6,CAND0156,0.5019,5,2026-08-10 17:00,2026-08-11 18:00,2026-08-10 13:00,2026-08-10 16:00,26,264.4,258.6,459273.6
