recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0006,CARRIER_B,20FT,8,8,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,CAND0702,2026-08-11 12:00,2026-08-11 14:00,2026-08-11 17:00,7,2026-08-13 10:00,2026-08-14 17:00,111.8,111.8,341517.68,6,0.5973,72,NEED0048|NEED0049|NEED0050|NEED0051|NEED0052|NEED0053|NEED0054
REC0007,CARRIER_B,20FT,10,10,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0156,2026-08-10 06:00,2026-08-10 18:00,2026-08-10 21:00,10,2026-08-12 06:00,2026-08-13 12:00,408.1,402.3,1536142.3,5,0.5019,63,NEED0064|NEED0065|NEED0066|NEED0067|NEED0068|NEED0069|NEED0070|NEED0071|NEED0072|NEED0073
REC0008,CARRIER_B,20FT,5,5,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,CAND0702,2026-08-11 12:00,2026-08-12 00:00,2026-08-12 03:00,5,2026-08-12 10:00,2026-08-14 10:00,390.6,384.8,734660.15,6,0.5973,55,NEED0077|NEED0078|NEED0079|NEED0080|NEED0081
REC0009,CARRIER_B,20FT,6,6,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0156,2026-08-10 16:00,2026-08-10 18:00,2026-08-10 21:00,5,2026-08-11 13:00,2026-08-11 18:00,143.7,143.7,329222.46,5,0.5019,21,NEED0059|NEED0060|NEED0061|NEED0062|NEED0063
