recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0006,CARRIER_B,BUGANG,20FT,8,7,2026-08-13 10:00,2026-08-14 17:00,UIWANG,47,23,24,8,8,CAND0702,0.5973,6,2026-08-13 10:00,2026-08-14 17:00,2026-08-11 14:00,2026-08-11 17:00,72,111.8,111.8,341517.68
REC0007,CARRIER_B,BUSAN,20FT,10,10,2026-08-12 06:00,2026-08-13 12:00,UIWANG,35,10,25,10,10,CAND0156,0.5019,5,2026-08-12 06:00,2026-08-13 12:00,2026-08-10 18:00,2026-08-10 21:00,63,408.1,402.3,1536142.3
REC0008,CARRIER_B,GWANGYANG,20FT,5,5,2026-08-12 10:00,2026-08-14 10:00,UIWANG,47,23,24,5,5,CAND0702,0.5973,6,2026-08-12 10:00,2026-08-14 10:00,2026-08-12 00:00,2026-08-12 03:00,55,390.6,384.8,734660.15
REC0009,CARRIER_B,BUSAN,20FT,6,5,2026-08-11 13:00,2026-08-11 18:00,YAKMOK,12,6,6,6,6,CAND0156,0.5019,5,2026-08-11 13:00,2026-08-11 18:00,2026-08-10 18:00,2026-08-10 21:00,21,143.7,143.7,329222.46
