recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0001,CARRIER_A,20FT,2,2,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0158,2025-07-01 23:00,2025-07-02 01:00,2025-07-02 04:00,2,2025-07-03 11:00,2025-07-03 15:00,152.6,152.6,116537.56,6,0.5233,35,NEED0012|NEED0013
REC0002,CARRIER_A,20FT,5,5,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0170,2025-07-04 23:00,2025-07-05 01:00,2025-07-05 04:00,4,2025-07-06 09:00,2025-07-06 16:00,152.6,152.6,291343.91,5,0.5008,36,NEED0014|NEED0015|NEED0016|NEED0017
REC0003,CARRIER_A,20FT,2,2,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,CAND0707,2025-07-03 18:00,2025-07-04 01:00,2025-07-04 04:00,2,2025-07-05 16:00,2025-07-05 17:00,242.0,236.2,180381.22,6,0.5009,37,NEED0001|NEED0002
REC0004,CARRIER_A,20FT,6,6,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,CAND0707,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,6,2025-07-04 13:00,2025-07-06 14:00,390.6,384.8,881592.18,6,0.5009,53,NEED0003|NEED0004|NEED0005|NEED0006|NEED0007|NEED0008
REC0005,CARRIER_A,20FT,7,7,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0170,2025-07-04 18:00,2025-07-05 01:00,2025-07-05 04:00,5,2025-07-06 17:00,2025-07-07 11:00,264.4,258.6,691206.75,5,0.5008,55,NEED0018|NEED0019|NEED0020|NEED0021|NEED0022
