recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0022,CARRIER_D,YAKMOK,40FT,2,1,2025-07-04 09:00,2025-07-04 09:00,BUGANG,5,1,4,1,2,CAND0158,0.5233,6,2025-07-04 09:00,2025-07-04 09:00,2025-07-02 01:00,2025-07-02 04:00,53,152.6,152.6,90339.2
REC0023,CARRIER_D,YAKMOK,40FT,2,1,2025-07-06 14:00,2025-07-06 14:00,BUGANG,5,2,3,1,2,CAND0170,0.5008,5,2025-07-06 14:00,2025-07-06 14:00,2025-07-05 01:00,2025-07-05 04:00,34,152.6,152.6,90339.2
REC0024,CARRIER_D,GWANGYANG,40FT,10,5,2025-07-04 14:00,2025-07-06 11:00,UIWANG,6,5,1,5,10,CAND0707,0.5009,6,2025-07-04 14:00,2025-07-06 11:00,2025-07-04 06:00,2025-07-04 09:00,50,390.6,384.8,1139008.0
