carrier_id,timestamp,hub_code,container_size,demand,external_supply,rail_inbound_boxes,rail_outbound_boxes,baseline_inventory,post_rail_inventory,baseline_unmet_demand,post_rail_unmet_demand
CARRIER_A,2025-07-07 12:00,BUGANG,20FT,0,0,0,0,8,1,0,0
CARRIER_A,2025-07-07 13:00,BUGANG,20FT,0,0,0,0,8,1,0,0
CARRIER_A,2025-07-07 14:00,BUGANG,20FT,1,0,0,0,7,0,0,0
CARRIER_A,2025-07-07 15:00,BUGANG,20FT,0,0,0,0,7,0,0,0
CARRIER_A,2025-07-07 16:00,BUGANG,20FT,0,0,0,0,7,0,0,0
CARRIER_A,2025-07-07 17:00,BUGANG,20FT,0,1,0,0,8,1,0,0
CARRIER_A,2025-07-07 18:00,BUGANG,20FT,0,0,0,0,8,1,0,0
CARRIER_A,2025-07-07 19:00,BUGANG,20FT,0,0,0,0,8,1,0,0
CARRIER_A,2025-07-07 20:00,BUGANG,20FT,0,0,0,0,8,1,0,0
CARRIER_A,2025-07-07 21:00,BUGANG,20FT,0,0,0,0,8,1,0,0
CARRIER_A,2025-07-07 22:00,BUGANG,20FT,0,0,0,0,8,1,0,0
CARRIER_A,2025-07-07 23:00,BUGANG,20FT,0,0,0,0,8,1,0,0
CARRIER_A,2025-07-01 00:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 01:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 02:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 03:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 04:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 05:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 06:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 07:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 08:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 09:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 10:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 11:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 12:00,BUGANG,40FT,0,0,0,0,1,1,0,0
CARRIER_A,2025-07-01 13:00,BUGANG,40FT,1,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 14:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 15:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 16:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 17:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 18:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 19:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 20:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 21:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 22:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-01 23:00,BUGANG,40FT,0,0,0,0,0,0,0,0
CARRIER_A,2025-07-02 00:00,BUGANG,40FT,0,0,0,0,0,0,0,0
