recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0016,CARRIER_C,20FT,1,1,BUGANG,부강화물역 CY,BUSAN,부산신항,CAND0170,2025-07-04 23:00,2025-07-05 06:00,2025-07-05 09:00,1,2025-07-06 09:00,2025-07-06 09:00,296.3,296.3,113139.19,5,0.5008,24,NEED0071
REC0017,CARRIER_C,20FT,2,2,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0170,2025-07-04 18:00,2025-07-05 06:00,2025-07-05 09:00,2,2025-07-07 07:00,2025-07-07 10:00,408.1,402.3,307228.46,5,0.5008,49,NEED0072|NEED0073
REC0018,CARRIER_C,40FT,1,2,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0170,2025-07-04 18:00,2025-07-05 06:00,2025-07-05 09:00,1,2025-07-07 13:00,2025-07-07 13:00,408.1,402.3,238161.6,5,0.5008,52,NEED0075
REC0019,CARRIER_C,20FT,4,4,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,CAND0707,2025-07-03 18:00,2025-07-04 01:00,2025-07-04 04:00,4,2025-07-04 11:00,2025-07-06 06:00,242.0,236.2,360762.44,6,0.5009,50,NEED0079|NEED0080|NEED0081|NEED0082
REC0020,CARRIER_C,20FT,4,4,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0158,2025-07-02 04:00,2025-07-02 06:00,2025-07-02 09:00,4,2025-07-02 10:00,2025-07-03 13:00,143.7,143.7,219481.64,6,0.5233,28,NEED0067|NEED0068|NEED0069|NEED0070
REC0021,CARRIER_C,20FT,1,1,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0170,2025-07-05 04:00,2025-07-05 06:00,2025-07-05 09:00,1,2025-07-07 17:00,2025-07-07 17:00,143.7,143.7,54870.41,5,0.5008,56,NEED0074
