recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0001,CARRIER_A,YAKMOK,20FT,2,2,2025-07-03 11:00,2025-07-03 15:00,BUGANG,8,2,6,2,2,CAND0158,0.5233,6,2025-07-03 11:00,2025-07-03 15:00,2025-07-02 01:00,2025-07-02 04:00,35,152.6,152.6,116537.56
REC0002,CARRIER_A,YAKMOK,20FT,5,4,2025-07-06 09:00,2025-07-06 16:00,BUGANG,9,7,2,5,5,CAND0170,0.5008,5,2025-07-06 09:00,2025-07-06 16:00,2025-07-05 01:00,2025-07-05 04:00,36,152.6,152.6,291343.91
REC0003,CARRIER_A,DONGSAN,20FT,2,2,2025-07-05 16:00,2025-07-05 17:00,UIWANG,13,8,5,2,2,CAND0707,0.5009,6,2025-07-05 16:00,2025-07-05 17:00,2025-07-04 01:00,2025-07-04 04:00,37,242.0,236.2,180381.22
REC0004,CARRIER_A,GWANGYANG,20FT,6,6,2025-07-04 13:00,2025-07-06 14:00,UIWANG,13,8,5,6,6,CAND0707,0.5009,6,2025-07-04 13:00,2025-07-06 14:00,2025-07-04 06:00,2025-07-04 09:00,53,390.6,384.8,881592.18
REC0005,CARRIER_A,YAKMOK,20FT,7,5,2025-07-06 17:00,2025-07-07 11:00,UIWANG,19,15,4,7,7,CAND0170,0.5008,5,2025-07-06 17:00,2025-07-07 11:00,2025-07-05 01:00,2025-07-05 04:00,55,264.4,258.6,691206.75
