stage,status,success,message,objective,mip_gap_requested,mip_gap_achieved,mip_dual_bound,runtime_sec,rows,cols
Z1_unserved_teu,0,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),180.0,0.0,0.0,180.0,0.002,147,147
Z2_train_count,0,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.003,148,147
Z3_train_km,0,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.001,0.0,0.0,0.003,149,147
Z4_wagon_km,0,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.001,0.0,0.0,0.003,150,147
Z5_earliness_teu_hours,0,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.001,0.0,0.0,0.001,151,147
Z6_rail_charge_krw,0,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.001,0.0,0.0,0.001,152,147
Z7_deterministic_tiebreak,0,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.001,0.0,0.0,0.001,153,147
