proposal_id,proposal_uuid,negotiation_round,proposal_version,parent_proposal_id,status,carrier_id,origin,origin_name,destination,destination_name,container_size,quantity,teu,earliest_need_due,latest_need_due,train_id,train_origin,train_destination,train_path,departure_time,arrival_time,max_earliness_hours,min_earliness_hours,estimated_rail_charge_krw,need_allocation
PROP0006,7639b9df-6bfe-5bd2-b2b1-924ee5b10dbb,2,2,PROP0006,FINALIZED,CARRIER_B,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,20FT,8,8,2026-08-13 10:00,2026-08-14 17:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-11 17:00,72,41,341517.68,NEED0048:1|NEED0049:2|NEED0050:1|NEED0051:1|NEED0052:1|NEED0053:1|NEED0054:1
PROP0007,5d2072bc-e611-5e82-94ca-f27182757c14,2,2,PROP0007,FINALIZED,CARRIER_B,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,10,10,2026-08-12 06:00,2026-08-13 12:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 21:00,63,33,1536142.3,NEED0064:1|NEED0065:1|NEED0066:1|NEED0067:1|NEED0068:1|NEED0069:1|NEED0070:1|NEED0071:1|NEED0072:1|NEED0073:1
PROP0008,46090094-5f03-5dd3-b212-9d83b75d0b19,2,2,PROP0008,FINALIZED,CARRIER_B,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,5,5,2026-08-12 10:00,2026-08-14 10:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-12 03:00,55,7,734660.15,NEED0077:1|NEED0078:1|NEED0079:1|NEED0080:1|NEED0081:1
PROP0009,08230be2-d217-55c2-af04-62aa587b7a77,2,2,PROP0009,FINALIZED,CARRIER_B,YAKMOK,약목역 CY,BUSAN,부산신항,20FT,6,6,2026-08-11 13:00,2026-08-11 18:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 13:00,2026-08-10 21:00,21,16,329222.46,NEED0059:1|NEED0060:2|NEED0061:1|NEED0062:1|NEED0063:1
