recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0019,CARRIER_F,20FT,1,1,BUGANG,부강화물역 CY,BUSAN,부산신항,CAND0158,2025-07-08 23:00,2025-07-09 06:00,2025-07-09 09:00,1,2025-07-11 17:00,2025-07-11 17:00,296.3,296.3,113139.19,5,0.6378,56,NEED0085
REC0020,CARRIER_F,20FT,3,3,BUGANG,부강화물역 CY,BUSAN,부산신항,CAND0170,2025-07-11 23:00,2025-07-12 06:00,2025-07-12 09:00,3,2025-07-12 10:00,2025-07-12 12:00,296.3,296.3,339417.57,5,0.5033,3,NEED0086|NEED0087|NEED0088
REC0021,CARRIER_F,20FT,2,2,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0170,2025-07-11 23:00,2025-07-12 01:00,2025-07-12 04:00,2,2025-07-12 09:00,2025-07-12 14:00,152.6,152.6,116537.56,5,0.5033,10,NEED0097|NEED0098
REC0022,CARRIER_F,40FT,1,2,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0158,2025-07-08 23:00,2025-07-09 01:00,2025-07-09 04:00,1,2025-07-10 09:00,2025-07-10 09:00,152.6,152.6,90339.2,5,0.6378,29,NEED0100
REC0023,CARRIER_F,20FT,1,1,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0170,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,1,2025-07-13 14:00,2025-07-13 14:00,264.4,258.6,98743.82,5,0.5033,34,NEED0099
