recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0010,CARRIER_C,BUSAN,20FT,4,3,2025-07-10 15:00,2025-07-12 06:00,BUGANG,5,3,2,3,3,CAND0158,0.6378,5,2025-07-10 15:00,2025-07-12 06:00,2025-07-09 06:00,2025-07-09 09:00,69,296.3,296.3,339417.57
REC0011,CARRIER_C,BUSAN,20FT,3,2,2025-07-10 15:00,2025-07-10 16:00,UIWANG,11,2,9,2,2,CAND0158,0.6378,5,2025-07-10 15:00,2025-07-10 16:00,2025-07-09 06:00,2025-07-09 09:00,31,408.1,402.3,307228.46
REC0012,CARRIER_C,YAKMOK,40FT,8,4,2025-07-09 09:00,2025-07-09 18:00,UIWANG,6,4,2,4,8,CAND0158,0.6378,5,2025-07-09 09:00,2025-07-09 18:00,2025-07-09 01:00,2025-07-09 04:00,14,264.4,258.6,612364.8
