recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0006,CARRIER_B,20FT,3,3,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,CAND0170,2025-07-11 18:00,2025-07-11 20:00,2025-07-11 23:00,3,2025-07-13 07:00,2025-07-14 07:00,111.8,111.8,128069.13,5,0.5033,56,NEED0028|NEED0029|NEED0030
REC0007,CARRIER_B,40FT,2,4,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,CAND0158,2025-07-08 18:00,2025-07-08 20:00,2025-07-08 23:00,2,2025-07-11 09:00,2025-07-11 14:00,111.8,111.8,132371.2,5,0.6378,63,NEED0031|NEED0032
REC0008,CARRIER_B,20FT,20,20,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0158,2025-07-08 18:00,2025-07-09 06:00,2025-07-09 09:00,12,2025-07-10 20:00,2025-07-12 08:00,408.1,402.3,3072284.62,5,0.6378,71,NEED0033|NEED0034|NEED0035|NEED0036|NEED0037|NEED0038|NEED0039|NEED0040|NEED0041|NEED0042|NEED0043|NEED0044
REC0009,CARRIER_B,20FT,4,4,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0170,2025-07-11 18:00,2025-07-12 06:00,2025-07-12 09:00,3,2025-07-12 11:00,2025-07-13 07:00,408.1,402.3,614456.92,5,0.5033,22,NEED0045|NEED0046|NEED0047
